"","Viola praemorsa","Arnica latifolia","Arenaria congesta","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Ivesia gordonii","Valeriana acutiloba","Indet indet","Chaenactis douglasii","Poa stenantha","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Phacelia hastata","Eriogonum umbellatum"
"Plot 1",0,0,0,1,0,0,3,0,31,0,0,0,0,0,0,0,3,0,0
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,2,0,0,0,0,3,0,0,3,0,0,1,0,23,0,5
"Plot 6",0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,24,1,2
"Plot 9",0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
"Plot 10",0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,37,0,1
"Plot 11",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,2
"Plot 12",0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1
"Plot 13",0,0,0,3,0,0,0,0,0,0,0,2,0,0,10,0,0,0,7
"Plot 14",0,0,0,2,0,0,0,0,1,0,0,0,0,0,13,0,3,0,3
"Plot 15",0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,50,0,4
"Plot 16",0,1,0,1,0,6,3,0,5,0,0,4,0,0,1,0,58,1,5
"Plot 17",0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,29,0,1
"Plot 18",0,0,0,1,0,0,0,0,9,0,0,0,0,0,2,0,1,0,1
"Plot 19",0,0,0,4,0,0,2,0,24,0,0,0,0,0,3,0,3,0,14
"Plot 20",0,0,10,3,1,1,5,1,12,0,0,4,0,0,9,0,44,0,16
"Plot 21",0,0,0,3,0,0,1,3,2,0,0,0,1,0,2,0,1,1,10
"Plot 22",0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,2,4
"Plot 23",0,0,0,2,0,1,0,0,4,0,0,0,0,0,3,0,5,0,3
"Plot 24",0,0,0,2,1,0,2,0,0,0,0,0,0,0,15,0,1,0,7
"Plot 25",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0
"Plot 27",0,0,1,5,0,5,1,1,5,0,0,0,0,0,9,0,0,0,8
"Plot 28",0,1,1,2,1,1,1,0,18,0,0,0,0,0,13,0,4,4,6
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,0,26,1,1
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,0,0,0,0,1,3,0,0,0,0,0,0,11,0,2,1,6
"Plot 32",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,2
"Plot 33",0,0,0,6,0,2,0,2,14,0,0,0,5,0,6,0,25,2,9
"Plot 34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 36",0,2,0,5,0,1,2,3,2,0,0,0,0,0,2,0,21,0,6
"Plot 37",0,0,0,7,0,1,1,1,21,0,0,0,0,0,0,0,47,0,2
"Plot 38",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Plot 40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2
"Plot 41",0,3,3,2,0,1,3,3,3,0,0,0,0,0,1,0,58,4,8
"Plot 42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,39,0,3
"Plot 45",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 46",7,1,11,42,0,23,43,1,18,0,0,2,0,0,8,37,50,8,38
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0
"Plot 49",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2
"Plot 50",0,0,0,3,0,0,0,0,9,0,0,0,0,0,1,0,1,0,5
