"Plot","Heterotheca villosa","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Chaenactis douglasii","Elymus lanceolatus","Eriogonum umbellatum","Agoseris glauca","Phacelia hastata","Arenaria congesta","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Viola praemorsa","Carex siccata"
"1",1,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,4,0,39,2,1,1,0,0,0,0,0,0,0,0,0,0
"11",0,2,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0
"12",0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"13",3,0,0,0,2,10,7,0,0,0,0,0,0,0,0,0,0
"14",2,1,0,3,0,13,3,0,0,0,0,0,0,0,0,0,0
"15",0,10,1,49,0,0,5,0,0,1,0,0,0,0,0,0,0
"16",1,5,4,58,4,2,6,6,1,0,1,0,0,0,0,0,0
"17",3,0,0,29,0,8,1,0,0,0,0,0,0,0,0,0,0
"18",1,9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"19",4,26,2,3,0,3,14,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",5,12,5,44,4,9,17,2,2,10,0,1,1,1,0,0,0
"21",3,3,1,1,0,2,10,0,2,0,0,0,0,4,1,0,0
"22",1,1,0,1,0,3,4,1,2,0,0,0,0,0,0,0,0
"23",2,4,0,4,0,3,3,1,0,0,0,0,0,0,0,0,0
"24",2,0,4,1,0,15,7,1,0,0,0,1,0,0,0,0,0
"25",1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
"27",5,5,1,0,0,9,7,6,0,1,0,0,0,1,0,0,0
"28",3,18,1,3,1,13,8,2,4,1,1,1,0,0,0,0,0
"29",1,1,0,26,1,9,3,0,1,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,1,1,0,11,6,1,1,0,0,0,0,4,0,0,0
"32",0,8,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0
"33",8,14,0,25,0,6,9,2,2,0,0,0,0,1,6,0,0
"34",0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",5,2,2,22,0,2,6,2,0,0,3,0,0,1,2,0,0
"37",7,21,2,46,0,0,2,1,0,0,0,0,0,1,0,0,0
"38",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0
"41",2,3,4,50,0,1,8,1,4,6,3,0,0,3,0,0,0
"42",0,0,1,37,0,1,3,0,0,0,0,0,0,0,0,0,0
"45",2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"46",43,19,45,50,2,8,39,24,8,13,1,0,1,1,0,5,39
"47",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",1,0,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0
"5",2,3,0,22,3,1,5,0,0,0,0,0,0,0,0,0,0
"50",3,9,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0
"6",0,17,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,6,1,24,2,0,2,0,1,0,0,0,0,0,0,0,0
"9",1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
